Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"How to Play in the Woods: Activities, Survival Skills, and Games for All Ages",Robin Blankenship,"",9781423641537,paperback,"","","","","","","","","","","","","","","","","",Yes
The Big Exit,David Carnoy,"",9781441787538,,"","","","","","","","","","","","","","","","","",Yes
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,"Irin Carmon, Shana Knizhnik","",9780062415837,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Hair-Pulling Problem: A Complete Guide to Trichotillomania,Fred Penzel,"",9780195149425,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Wings of the Dove,Henry James,"",9780679455127,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Canterbury Tales,Geoffrey Chaucer,"J.U. Nicolson (Translator), Rockwell Kent (Illustrator)","",hardcover,"","","","","","","","","","","","","","","","","",Yes
Super Subversive Cross Stitch: 50 Fresh as F*ck Designs,Julie Jackson,"",9781632173881,hardcover,"","","","","","","","","","","","","","","","","",Yes
A Wind in the Door,Madeleine L'Engle,"",9780312368548,paperback,"","","","","","","","","","","","","","","","","",Yes
Heron Collected Works of Henry James,Henry James,"",9780862251871,,"","","","","","","","","","","","","","","","","",Yes
Animal Farm and 1984,George Orwell,"",9780547504186,digital,"","","","","","","","","","","","","","","","","",Yes
Walden and Other Writings,Henry David Thoreau,"",9781566190251,hardcover,"","","","","","","","","","","","","","","","","",Yes
Midnight in the Garden of Good and Evil,John Berendt,"",0679429220,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Eyre Affair,Jasper Fforde,"",9780756966348,paperback,"","","","","","","","","","","","","","","","","",Yes
The Two Towers,J.R.R. Tolkien,"",9780618002238,paperback,"","","","","","","","","","","","","","","","","",Yes
Scythe,Neal Shusterman,"",9781442472426,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Beginner's Guide to Wicca: A Practical Guide for Those Starting on Their Wiccan Path,Kirsten Riddle,"",9781782498391,hardcover,"","","","","","","","","","","","","","","","","",Yes
Postpositivism and Educational Research,D.C. Phillips,Nicholas C. Burbules,0000847691225,paperback,"","","","","","","","","","","","","","","","","",Yes
Local Flavors: Cooking and Eating from America's Farmers' Markets,Deborah Madison,"",9780767929493,paperback,"","","","","","","","","","","","","","","","","",Yes
Edible Memory: The Lure of Heirloom Tomatoes and Other Forgotten Foods,Jennifer A. Jordan,"",9780226228105,hardcover,"","","","","","","","","","","","","","","","","",Yes
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"",9781620974674,hardcover,"","","","","","","","","","","","","","","","","",Yes
Spring Remains,Mons Kallentoft,"",9781451642711,paperback,"","","","","","","","","","","","","","","","","",Yes
Husband and Wife,Zeruya Shalev,Dalya Bilu (Translator),9780802140098,paperback,"","","","","","","","","","","","","","","","","",Yes
The School for Good Mothers,Jessamine Chan,"",9781668000335,paperback,"","","","","","","","","","","","","","","","","",Yes
Notes on Resistance,"David Barsamian, Noam Chomsky","",9781642596984,paperback,"","","","","","","","","","","","","","","","","",Yes
A Little History of the World,E.H. Gombrich,Clifford Harper (Illustrator),9780300108835,hardcover,"","","","","","","","","","","","","","","","","",Yes
Love Life,Zeruya Shalev,Dalya Bilu (Translator),9780802137814,paperback,"","","","","","","","","","","","","","","","","",Yes
The Remains of Love,Zeruya Shalev,"",9798378981168,paperback,"","","","","","","","","","","","","","","","","",Yes
Witness to the Holocaust,Michael Berenbaum,"",9780062701084,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Zen Judaism: For You, a Little Enlightenment",David M. Bader,"",9780609610213,hardcover,"","","","","","","","","","","","","","","","","",Yes
Death at La Fenice,Donna Leon,"",9780060740689,paperback,"","","","","","","","","","","","","","","","","",Yes
Royal Mistress,Anne Easter Smith,"",9781451648621,paperback,"","","","","","","","","","","","","","","","","",Yes
Get Into Graduate School: A Strategic Approach for Master's and Doctoral Candidates (Get Into Graduate School),Kaplan Inc.,"",,,"","","","","","","","","","","","","","","","","",Yes
The Illustrated A Brief History of Time/The Universe in a Nutshell,Stephen Hawking,"",9780385365970,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Elements of Style,"William Strunk Jr., E.B. White",Roger Angell (Contributor),9780205309023,paperback,"","","","","","","","","","","","","","","","","",Yes
Uncle Tom's Cabin,Harriet Beecher Stowe,"",0395081297,,"","","","","","","","","","","","","","","","","",Yes
Reality Sandwiches: 1953-1960,Allen Ginsberg,"",9780872860216,paperback,"","","","","","","","","","","","","","","","","",Yes
The Last Palace: Europe's Extraordinary Century Through Five Lives and One House in Prague,"Norman Eisen, Norman Eisen","",9781472237309,,"","","","","","","","","","","","","","","","","",Yes
"The Norton Anthology of English Literature, Volume 1","Meyer Howard Abrams, Stephen Greenblatt","",0393974871,paperback,"","","","","","","","","","","","","","","","","",Yes
11/22/63,Stephen King,"",9781451627299,paperback,"","","","","","","","","","","","","","","","","",Yes
1965: The Most Revolutionary Year in Music: The Most Revolutionary Year in Music,"Andrew Grant Jackson, Andrew Grant Jackson","",9781250059628,hardcover,"","","","","","","","","","","","","","","","","",Yes
When a Jew seeks wisdom : the sayings of the Fathers,Seymour Rossel,"Chaim Stern (Contributor), Hyman Chanover (Contributor)",9780874410891,paperback,"","","","","","","","","","","","","","","","","",Yes
Amazing Places to See in North America,Eric Peterson,"",9781412716055,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Collected Poems, 1934-53","Thomas, Thomas","",,,"","","","","","","","","","","","","","","","","",Yes
Nothing Special: Living Zen,Charlotte Joko Beck,Steve Smith,9780062511171,paperback,"","","","","","","","","","","","","","","","","",Yes
Alexander Hamilton,Ron Chernow,"",9780786553617,audio,"","","","","","","","","","","","","","","","","",Yes
Harry Potter and the Deathly Hallows,J.K. Rowling,Mary GrandPré (Illustrator),9781338878981,paperback,"","","","","","","","","","","","","","","","","",Yes
Great Crimes of San Francisco,Dean W. Dickensheet,"",9780891740339,paperback,"","","","","","","","","","","","","","","","","",Yes
Where the Crawdads Sing,Delia Owens,"",9780593187982,hardcover,"","","","","","","","","","","","","","","","","",Yes
Advanced Rails: Building Industrial-Strength Web Apps in Record Time,Brad Ediger,"",9780596510329,paperback,"","","","","","","","","","","","","","","","","",Yes
The Tax Inspector,Peter Carey,"",9780679735984,paperback,"","","","","","","","","","","","","","","","","",Yes
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"",9780553212280,paperback,"","","","","","","","","","","","","","","","","",Yes
The Angel of Darkness,Caleb Carr,"",9780679435327,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Queen Isabella: Treachery, Adultery, and Murder in Medieval England",Alison Weir,"",9780345453204,paperback,"","","","","","","","","","","","","","","","","",Yes
Self-Care Cross-Stitch: 40 UpliftingIrreverent Patterns,Stephanie Rohr,"",9781454711513,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Well of Lost Plots,Jasper Fforde,"",9780143034353,paperback,"","","","","","","","","","","","","","","","","",Yes
Shortcuts to Hit Songwriting: 126 Proven Techniques for Writing Songs That Sell,Robin Frederick,"",9780982004005,paperback,"","","","","","","","","","","","","","","","","",Yes
The Science of Cooking: Every Question Answered to Perfect Your Cooking,Stuart Farrimond,"",9781465463692,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Singing Sands,Josephine Tey,"",9780684818924,paperback,"","","","","","","","","","","","","","","","","",Yes
Songs of Innocence and Songs of Experience,William Blake,"",9780486270517,paperback,"","","","","","","","","","","","","","","","","",Yes
Never Let Me Go,Kazuo Ishiguro,"",9781841594101,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Art of Imperfection: Simple Ways to Make Peace with Yourself,Veronique Vienne,"",0609605216,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Little Paris Bookshop,Nina George,"",9780553418798,paperback,"","","","","","","","","","","","","","","","","",Yes
Recipes from an Italian Farmhouse,Valentina Harris,"",9781850298052,paperback,"","","","","","","","","","","","","","","","","",Yes
Crime and Punishment,Fyodor Dostoevsky,"Constance Garnett (Translator), Joseph Frank (Contributor)",0553211757,paperback,"","","","","","","","","","","","","","","","","",Yes
A Fine Balance,Rohinton Mistry,"",0375414819,hardcover,"","","","","","","","","","","","","","","","","",Yes
Hunger Games Box Set,Suzanne Collins,"",9781546171904,paperback,"","","","","","","","","","","","","","","","","",Yes
Mrs Dalloway,Virginia Woolf,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
Murder Fest,Julie Wassmer,"",9781472130082,paperback,"","","","","","","","","","","","","","","","","",Yes
The Alienist,Caleb Carr,"",9780679417798,hardcover,"","","","","","","","","","","","","","","","","",Yes
Naked Beneath My Clothes: Tales of a Revealing Nature,Rita Rudner,"",9780759636002,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Food & Wine Best of the Best, Volume 16: The Best Recipes from the 25 Best Cookbooks of the Year",Food & Wine Magazine,Dana Cowin,"",hardcover,"","","","","","","","","","","","","","","","","",Yes
Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Scott,"",9781250235381,digital,"","","","","","","","","","","","","","","","","",Yes
The Paris Library,Janet Skeslien Charles,"",9781982134198,hardcover,"","","","","","","","","","","","","","","","","",Yes
Mr. Mani,A.B. Yehoshua,"",9780156627696,paperback,"","","","","","","","","","","","","","","","","",Yes
The Blind Assassin,Margaret Atwood,"",9780385720953,paperback,"","","","","","","","","","","","","","","","","",Yes
The Visual Arts: A History,Hugh Honour,John Fleming,9780130957900,paperback,"","","","","","","","","","","","","","","","","",Yes
The King's Pleasure,Alison Weir,"",9780593355060,hardcover,"","","","","","","","","","","","","","","","","",Yes
Animal Farm,George Orwell,"",9780241453865,hardcover,"","","","","","","","","","","","","","","","","",Yes
Scottsdale,Joan Fudala,"",9780738548753,paperback,"","","","","","","","","","","","","","","","","",Yes
Witchcraft for Beginners: A Simple Introduction to Magic for the Modern Witch,Bridget Bishop,"",9781957710006,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Captain's Verses,Pablo Neruda,Donald Devenish Walsh,9780811215800,paperback,"","","","","","","","","","","","","","","","","",Yes
Kaplan Portable GRE Exam,Kaplan Test Prep,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Good Earth,Pearl S. Buck,"",9780671510121,paperback,"","","","","","","","","","","","","","","","","",Yes
My Brilliant Friend,Elena Ferrante,Ann Goldstein (Translator),9781609450786,paperback,"","","","","","","","","","","","","","","","","",Yes
The Philosophy of Modern Song,Bob Dylan,"",9781451648706,hardcover,"","","","","","","","","","","","","","","","","",Yes
Jonathan Livingston Seagull,Richard Bach,Russell Munson,9780684846842,hardcover,"","","","","","","","","","","","","","","","","",Yes
Normal Women: Nine Hundred Years of Making History,Philippa Gregory,"",9780063304321,hardcover,"","","","","","","","","","","","","","","","","",Yes
Selected Poems,T.S. Eliot,"",0156806479,paperback,"","","","","","","","","","","","","","","","","",Yes
The Complete Hans Christian Andersen Fairy Tales,"Hans Christian Andersen, Naomi Lewis, Erik Christian Haugaard","",0517336324,,"","","","","","","","","","","","","","","","","",Yes
"Byron's Poetical Works, Volume 1",Lord Byron,Ernest Hartley Coleridge,"",digital,"","","","","","","","","","","","","","","","","",Yes
The Run-Walk-Run-Method,"Jeff Galloway, Jeff Galloway","",9781782550068,paperback,"","","","","","","","","","","","","","","","","",Yes
Bee Season,Myla Goldberg,"",9780385498807,paperback,"","","","","","","","","","","","","","","","","",Yes
Confidence Men,Ron Suskind,"",9780061429255,hardcover,"","","","","","","","","","","","","","","","","",Yes
Twenty Love Poems and a Song of Despair,Pablo Neruda,"Cristina García (Contributor), W.S. Merwin (Translator)","",paperback,"","","","","","","","","","","","","","","","","",Yes
"The History of Art: Architecture, Painting, Sculpture","Trewin Copplestone, Bernard Myers","",9780880295505,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Darwin Awards: Evolution in Action,Wendy Northcutt,"",9780525945727,paperback,"","","","","","","","","","","","","","","","","",Yes
Songwriting Without Boundaries: Lyric Writing Exercises for Finding Your Voice,Pat Pattison,"",,,"","","","","","","","","","","","","","","","","",Yes
To Love and Be Wise,"Josephine Tey, Robert Barnard","",,,"","","","","","","","","","","","","","","","","",Yes
Barbarian Days: A Surfing Life,William Finnegan,"",9780143109396,paperback,"","","","","","","","","","","","","","","","","",Yes
The Heaven & Earth Grocery Store,James McBride,"",9780593422946,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Five Novels: The House of Mirth, Ethan Frome, The Custom of the Country, Summer, and The Age of Innocence",Edith Wharton,"",9780760776377,hardcover,"","","","","","","","","","","","","","","","","",Yes
Tender is the Night,F. Scott Fitzgerald,"",0020199309,,"","","","","","","","","","","","","","","","","",Yes
111 Places in San Francisco That You Must Not Miss Updated and Revised,Floriana Petersen,"",9783954516094,paperback,"","","","","","","","","","","","","","","","","",Yes
A Beggar In Jerusalem.,Elie Wiesel,L. Edelman,9780722191415,paperback,"","","","","","","","","","","","","","","","","",Yes
The Boys Omnibus Vol. 2,Garth Ennis,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Retreat: A Novel,Sarah Pearse,"",9780593489574,paperback,"","","","","","","","","","","","","","","","","",Yes
The Jungle,"Upton Sinclair, Peter Kuper, Emily Russell","",0553212451,paperback,"","","","","","","","","","","","","","","","","",Yes
The Great Dune Trilogy,Frank Herbert,"",9781473224469,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Dead Zone,Stephen King,"",9781501144509,paperback,"","","","","","","","","","","","","","","","","",Yes
The Lido,Libby Page,"",9781501182037,hardcover,"","","","","","","","","","","","","","","","","",Yes
Hadrian and the City of Rome,Mary T. Boatwright,"",0691002185,,"","","","","","","","","","","","","","","","","",Yes
Reflection,Elizabeth Lim,"",9781484781296,hardcover,"","","","","","","","","","","","","","","","","",Yes
Knitting: Learn to Knit Six Great Projects,Anne Akers Johnson,"",,paperback,"","","","","","","","","","","","","","","","","",Yes
Bridgerton Collector's Edition 4,Julia Quinn,"",9780063383739,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Atopia Chronicles,Matthew Mather,"",1477849289,digital,"","","","","","","","","","","","","","","","","",Yes
Murder in the Marketplace,Lora Roberts,"",9780449148907,paperback,"","","","","","","","","","","","","","","","","",Yes
The Alice Network,Kate Quinn,"",9780062654199,paperback,"","","","","","","","","","","","","","","","","",Yes
Leaping Poetry: An Idea with Poems and Translations,Robert Bly,"",9780807063934,,"","","","","","","","","","","","","","","","","",Yes
Flour + Water: Pasta,"Thomas McNaughton, Paolo Lucchesi","",9781607744702,hardcover,"","","","","","","","","","","","","","","","","",Yes
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,"Adeena Sussman, Chrissy Teigen","",9781101903919,hardcover,"","","","","","","","","","","","","","","","","",Yes
Kings and Queens of England,Antonia Fraser,"",9780304357239,,"","","","","","","","","","","","","","","","","",Yes
The Shadow Of Sirius,W.S. Merwin,"",9781852248543,paperback,"","","","","","","","","","","","","","","","","",Yes
"The Kitchen Witch: Your Complete Guide to Creating a Magical Kitchen with Natural Ingredients, Sacred Rituals, and Spellwork",Skye Alexander,"",9781507220887,hardcover,"","","","","","","","","","","","","","","","","",Yes
Timebound,Rysa Walker,"",B00CQC9O16,digital,"","","","","","","","","","","","","","","","","",Yes
Mark Twain Himself: A Pictorial Biography,Milton Meltzer,"",9780826214126,paperback,"","","","","","","","","","","","","","","","","",Yes
Queens at War: England's Medieval Queens Book Four,Alison Weir,"",9781101966754,hardcover,"","","","","","","","","","","","","","","","","",Yes
Short History of the American Nation: 1,John A. Garraty,"",9780060422943,paperback,"","","","","","","","","","","","","","","","","",Yes
Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,"",9780812981483,paperback,"","","","","","","","","","","","","","","","","",Yes
Daughter of Fortune ,Isabel Allende,"",0061120251,paperback,"","","","","","","","","","","","","","","","","",Yes
Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"",9780307947901,paperback,"","","","","","","","","","","","","","","","","",Yes
When a Jew Prays,Seymour Rossel,"",9780874410938,paperback,"","","","","","","","","","","","","","","","","",Yes
"Committee of Vigilance: Revolution in San Francisco, 1851",George R. Stewart,"",9780345021694,,"","","","","","","","","","","","","","","","","",Yes
Go Tell It on the Mountain,James Baldwin,"",9780440330073,paperback,"","","","","","","","","","","","","","","","","",Yes
Future Shock,Alvin Toffler,"",9780553101508,paperback,"","","","","","","","","","","","","","","","","",Yes
The Kite Runner,Khaled Hosseini,"",9781594631931,paperback,"","","","","","","","","","","","","","","","","",Yes
The Heat Will Kill You First: Life and Death on a Scorched Planet,Jeff Goodell,"",9780316497572,hardcover,"","","","","","","","","","","","","","","","","",Yes
How to Tell If Your Cat Is Plotting to Kill You,Matthew Inman,"",9781449410247,paperback,"","","","","","","","","","","","","","","","","",Yes
The Scarlet Letter: Gilded Pocket Edition,Nathaniel Hawthorne,"",9781398836471,hardcover,"","","","","","","","","","","","","","","","","",Yes
Big Bad,Chandler Baker,"",9781662514890,digital,"","","","","","","","","","","","","","","","","",Yes
"Working Backwards: Insights, Stories, and Secrets from Inside Amazon","Bill Carr, Colin Bryar","",9781529033830,paperback,"","","","","","","","","","","","","","","","","",Yes
San Francisco's Richmond District,Lorri Ungaretti,"",9780738530536,paperback,"","","","","","","","","","","","","","","","","",Yes
Kaplan GRE & GMAT Exams Writing Workbook,Kaplan Inc.,"",,,"","","","","","","","","","","","","","","","","",Yes
Community Klepto,Kelly I. Hitchcock,"",9781647423735,paperback,"","","","","","","","","","","","","","","","","",Yes
The House of Mirth,Edith Wharton,"",9780679406679,hardcover,"","","","","","","","","","","","","","","","","",Yes
Of Human Bondage,W. Somerset Maugham,"","",hardcover,"","","","","","","","","","","","","","","","","",Yes
Cured,Bethany Wiggins,"",9780802734211,digital,"","","","","","","","","","","","","","","","","",Yes
The Bostonians,Henry James,"",0862251915,hardcover,"","","","","","","","","","","","","","","","","",Yes
Big Little Lies,Liane Moriarty,"",9781743530429,paperback,"","","","","","","","","","","","","","","","","",Yes
A War Like No Other: How the Athenians and Spartans Fought the Peloponnesian War,Victor Davis Hanson,"",9780812969702,paperback,"","","","","","","","","","","","","","","","","",Yes
The Frugal Gourmet,Jeff Smith,Gary Jacobsen (Illustrator),9780517203651,hardcover,"","","","","","","","","","","","","","","","","",Yes
Che: A Revolutionary Life,Jon Lee Anderson,José Hernández (Illustrator),9780735221772,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Saxons, Vikings, and Celts: The Genetic Roots of Britain and Ireland",Bryan Sykes,"",9780393062687,hardcover,"","","","","","","","","","","","","","","","","",Yes
Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker","",9780684818702,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Lost Man,Jane Harper,"",9781250229106,paperback,"","","","","","","","","","","","","","","","","",Yes
Vanity Fair,William Makepeace Thackeray,John Carey,9780143034445,paperback,"","","","","","","","","","","","","","","","","",Yes
The Annotated Lolita,Vladimir Nabokov,"",9780679727293,paperback,"","","","","","","","","","","","","","","","","",Yes
Tropic of Cancer,Henry Miller,"",9780394177601,paperback,"","","","","","","","","","","","","","","","","",Yes
Wuthering Heights,Emily Brontë,"",9780141040356,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Knitting Directory,Alison Jenkins,"",,,"","","","","","","","","","","","","","","","","",Yes
Kaplan New GRE: An Introduction to the GRE Revised General Test,Kaplan Inc.,"",,digital,"","","","","","","","","","","","","","","","","",Yes
In the Woods,Tana French,"",9780143113492,paperback,"","","","","","","","","","","","","","","","","",Yes
For Whom the Bell Tolls,Ernest Hemingway,"",9780684102399,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Portable William Blake,William Blake,"",9780140150261,paperback,"","","","","","","","","","","","","","","","","",Yes
High Output Management,Andrew S. Grove,"",9780679762881,paperback,"","","","","","","","","","","","","","","","","",Yes
On Writing: A Memoir of the Craft,Stephen King,"",9781439193631,hardcover,"","","","","","","","","","","","","","","","","",Yes
Anna Karenina,Leo Tolstoy,"Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780143035008,paperback,"","","","","","","","","","","","","","","","","",Yes
In Bloom,Paul Tremblay,"",9781662516900,digital,"","","","","","","","","","","","","","","","","",Yes
"Serial, Vol. 2: Cat & Mouse",Terry Moore,"",B09PZLB5LW,digital,"","","","","","","","","","","","","","","","","",Yes
"The Essential Mexican Cookbook: 50 Classic Recipes, with Step-by-Step Photographs",Heather Thomas,"",9781561385997,hardcover,"","","","","","","","","","","","","","","","","",Yes
Lucidity,David Carnoy,"",,,"","","","","","","","","","","","","","","","","",Yes
I Am Pusheen the Cat,Claire Belton,"",9781476747125,digital,"","","","","","","","","","","","","","","","","",Yes
So You Want to Talk About Race,Ijeoma Oluo,"",9781541619227,digital,"","","","","","","","","","","","","","","","","",Yes
The Singing Fire: A Novel,"Lilian Nattel, Lilian Nattel","",9780743249676,paperback,"","","","","","","","","","","","","","","","","",Yes
Death of a Writer,Michael Collins,"",9781596913066,paperback,"","","","","","","","","","","","","","","","","",Yes
The Scarlet Pimpernel,Baroness Orczy,"",9780340894989,paperback,"","","","","","","","","","","","","","","","","",Yes
Strangers on a Train,Patricia Highsmith,"",9780349007274,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Anatomy of a Song: The Oral History of 45 Iconic Hits That Changed Rock, R&B and Pop",Marc Myers,"",9780802127181,paperback,"","","","","","","","","","","","","","","","","",Yes
"Eat Plants, B*tch: 91 Vegan Recipes That Will Blow Your Meat-Loving Mind",Pinky Cole,"",9781982178314,hardcover,"","","","","","","","","","","","","","","","","",Yes
Dracula,Bram Stoker,"",9780141196886,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Flowers of Evil,Charles Baudelaire,"Marthiel Mathews, Jackson Mathews",0811211177,paperback,"","","","","","","","","","","","","","","","","",Yes
A Moveable Feast,Ernest Hemingway,"",9780684718040,paperback,"","","","","","","","","","","","","","","","","",Yes
An Indigenous Peoples' History of the United States for Young People,Roxanne Dunbar-Ortiz,"Debbie Reese (Contributor), Jean Mendoza (Contributor)",9780807049396,paperback,"","","","","","","","","","","","","","","","","",Yes
Our Class: Trauma and Transformation in an American Prison,Chris Hedges,"",9781982154431,hardcover,"","","","","","","","","","","","","","","","","",Yes
The House at Pooh Corner,A.A. Milne,Ernest H. Shepard (Illustrator),9780525444442,hardcover,"","","","","","","","","","","","","","","","","",Yes
Damascus Gate,Robert Stone,"",9780547599380,paperback,"","","","","","","","","","","","","","","","","",Yes
A Knight of the Seven Kingdoms,George R.R. Martin,Gary Gianni (Illustrator),9780345533487,hardcover,"","","","","","","","","","","","","","","","","",Yes
Luckiest Girl Alive,Jessica Knoll,"",9781476789637,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Mexican Vegetarian Cookbook: 400 authentic everyday recipes for the home cook,Margarita Carrillo Arronte,"",9781838665265,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Red Badge of Courage and Selected Short Fiction,Stephen Crane,"",9780582530270,paperback,"","","","","","","","","","","","","","","","","",Yes
Social Animals: A Berkley Bestiary,Lucy Berkley,Ryan Berkley (Illustrator),9781632170408,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Wendy MacNaughton (Illustrator),9781476753836,hardcover,"","","","","","","","","","","","","","","","","",Yes
A Court of Thorns and Roses,Sarah J. Maas,"",9781635575552,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Unknown Ajax,Georgette Heyer,"",9780373774166,paperback,"","","","","","","","","","","","","","","","","",Yes
Frida Kahlo: 1907-1954 Pain and Passion,Andrea Kettenmann,"",3822859834,paperback,"","","","","","","","","","","","","","","","","",Yes
Oxford American Writer's Thesaurus,"David Lehman, Simon Winchester, Christine A. Lindberg, Michael Dirda, David Foster Wallace, Erin McKean, Jean Strouse, Zadie Smith, Stephin Merritt, David Auburn, Francine Prose","",,,"","","","","","","","","","","","","","","","","",Yes
"Strangers in Paradise, Volume 3: It's A Good Life","Alisa Kwitney, Terry Moore","",,digital,"","","","","","","","","","","","","","","","","",Yes
Anguish of the Jews (Revised and Updated): Twenty-Three Centuries of Antisemitism,Edward H. Flannery,"",9780809143245,paperback,"","","","","","","","","","","","","","","","","",Yes
Mediocre: The Dangerous Legacy of White Male America,Ijeoma Oluo,"",9781580059510,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Portable William Blake,Alfred Kazin,"",0140150269,,"","","","","","","","","","","","","","","","","",Yes
The Return of the King,J.R.R. Tolkien,"",9780618002245,paperback,"","","","","","","","","","","","","","","","","",Yes
The Peace of Wild Things: And Other Poems,Wendell Berry,"",9780141987125,paperback,"","","","","","","","","","","","","","","","","",Yes
Bellringer,J. Robert Janes,"",9781453271124,paperback,"","","","","","","","","","","","","","","","","",Yes
The Healing Garden: Cultivating and Handcrafting Herbal Remedies,Juliet Blankespoor,"",9780358313380,hardcover,"","","","","","","","","","","","","","","","","",Yes
Everything You Need to Ace World History in One Big Fat Notebook: The Complete Middle School Study Guide,Workman Publishing,"",9780761160946,paperback,"","","","","","","","","","","","","","","","","",Yes
Jitterbug Perfume,Tom Robbins,"",0553268449,,"","","","","","","","","","","","","","","","","",Yes
The Last Bookshop in London,Madeline Martin,"",9781335284808,paperback,"","","","","","","","","","","","","","","","","",Yes
Dungeons & Dragons: Core Rulebooks Gift Set,Wizards RPG Team,"",9780786966622,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Train Like a Mother: How to Get Across Any Finish Line - And Not Lose Your Family, Job, or Sanity","Sarah Bowen Shea, Dimity McDowell","",9781449409869,paperback,"","","","","","","","","","","","","","","","","",Yes
Fear: Trump in the White House,Bob Woodward,"",9781501175510,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Stand,Stephen King,Bernie Wrightson (Illustrator),9780385199575,hardcover,"","","","","","","","","","","","","","","","","",Yes
America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart,"Jason Ross, Ben Karlin, Samantha Bee, David Javerbaum, Stephen Colbert, Tom Johnson, Tim Carvell, Rob Kutner, J.R. Havlan, Rich Bloomquist, Steve Bodow, Eric Drysdale, Brendan Hay, Rob Corddry, Scott Jacobson, Chris Regan, Jason Reich, Ed Helms",9780713998948,hardcover,"","","","","","","","","","","","","","","","","",Yes
Gates of the Seasons,Peter Knobel,"",,,"","","","","","","","","","","","","","","","","",Yes
"The Works of Lord Byron, Volume 6",Lord Byron,Ernest Hartley Coleridge,"",digital,"","","","","","","","","","","","","","","","","",Yes
Josephine Tey: A Life,"Jennifer Morag Henderson, Jennifer Henderson","",9781910985373,paperback,"","","","","","","","","","","","","","","","","",Yes
An Acceptable Time,Madeleine L'Engle,"",9780312368586,paperback,"","","","","","","","","","","","","","","","","",Yes
The Beatles Anthology,The Beatles,"",9780811826846,hardcover,"","","","","","","","","","","","","","","","","",Yes
A History of Western Music,J. Peter Burkholder,"Donald Jay Grout, Claude V. Palisca",9780393979916,hardcover,"","","","","","","","","","","","","","","","","",Yes
Catch-22,Joseph Heller,"",9780679437223,,"","","","","","","","","","","","","","","","","",Yes
Three Black Skirts: All You Need to Survive,Anna Johnson,"",,paperback,"","","","","","","","","","","","","","","","","",Yes
Shanghai Girls,Lisa See,"",9781400067114,hardcover,"","","","","","","","","","","","","","","","","",Yes
Mexican Gothic,Silvia Moreno-Garcia,"",9780525620785,hardcover,"","","","","","","","","","","","","","","","","",Yes
Disappearance at Oare,Julie Wassmer,"",9781472124944,paperback,"","","","","","","","","","","","","","","","","",Yes
