Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Out of the Attic,V.C. Andrews,"","",digital,read,2025/09/26,2025/09/25,2025/09/24-2025/09/25,1,"",,,,,,,,,"",,"",No
Bossypants,Tina Fey,"",9780316056861,hardcover,read,2013/11/18,2014/03/12,2014/03/12,1,"",,,,,,,5.0,,"",,"",Yes
"Royal Road to Fotheringhay: The Story of Mary, Queen of Scots",Jean Plaidy,"","",digital,read,2014/11/04,2014/11/05,2014/11/05,1,"",,,,,,,3.0,,"",,"",Yes
The Firm,John Grisham,"",9780099830009,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Wideacre,Philippa Gregory,"",9780641719660,paperback,read,2015/11/20,2025/08/27,"2025/08/25-2025/08/27, 2015/11/22",5,"",,,,,,,4.0,,"",,"",Yes
Hannibal,Thomas Harris,"",9780440339243,digital,read,2013/06/10,2013/06/13,2013/06/13,1,"",,,,,,,3.0,,"",,"",Yes
Wolf Hall,Hilary Mantel,"",9780805080681,hardcover,read,2011/04/10,2011/03/01,2011/03/01,4,"",,,,,,,5.0,,"",,"",Yes
The Hot Zone,Richard Preston,"",9780385495226,paperback,read,2013/10/07,"","",1,"",,,,,,,3.0,,"",,"",No
Red Dragon,Thomas Harris,"",9781440657795,digital,read,2013/05/28,2013/05/31,2013/05/31,1,"",,,,,,,3.0,,"",,"",Yes
3rd Degree,James Patterson,Andrew Gross,9780759509092,digital,read,2011/06/25,"","",1,"",,,,,,,3.0,,"",,"",Yes
Judge & Jury,"James Patterson, Andrew Gross","",9780316013932,hardcover,read,2011/04/09,"","",1,"",,,,,,,3.0,,"",,"",Yes
The Legend of the Bluebonnet: An Old Tale of Texas,Tomie de Paola,"",9780399209376,hardcover,read,2021/01/29,"","",1,"",,,,,,,,,"",,"",No
Y: The Last Man Book Five,Brian K. Vaughan,"",9781401263720,paperback,read,2021/09/06,2021/09/06,2021/09/06,2,"",,,,,,,4.0,,"",,"",Yes
Gathering Blue,Lois Lowry,"",9780547345789,digital,read,2014/08/15,2014/08/16,2014/08/16,1,"",,,,,,,,,"",,"",No
A Tale of Two Cities,Charles Dickens,"",9780141196909,hardcover,paused,2025/03/11,"","",1,"",,,,,,,,,"",,"",Yes
The Lady of the Rivers,Philippa Gregory,"",9781416563921,digital,read,2011/11/29,2018/01/25,2018/01/25,2,"",,,,,,,4.0,,"",,"",Yes
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Jonny Duddle, Tomislav Tomić",9781408855911,hardcover,read,2011/04/09,"","",4,"",,,,,,,4.0,,"",,"",Yes
Herding Cats,Sarah Andersen,"",9781449489786,paperback,read,2018/04/05,2018/04/05,2018/04/05,1,"",,,,,,,5.0,,"",,"",Yes
Everything's Eventual: 14 Dark Tales,Stephen King,"",9780743235150,hardcover,read,2011/04/10,"","",1,"",,,,,,,3.0,,"",,"",Yes
